videos,first_frame,sessions.thisRepN,sessions.thisTrialN,sessions.thisN,sessions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start_exp.started,etRecord.started,etRecord.stopped,start_exp.stopped,focus.started,image.started,focus.stopped,trial.started,movie.started,trial.stopped,questions.started,key_resp.started,text.started,questions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,end_exp.started,etRecord_2.started,etRecord_2.stopped,end_exp.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
video/Sphere_init1_speed1_perturbation/delta1/0001-0150.avi,video/First_frame/Sphere_init1_speed1_perturbation_delta1_0001-0150.jpg,1,0,1,0,0,16,16,12,344.4884655000001,,,,,,344.45377150000013,344.4884655000001,345.45518260000017,345.4551907,345.7218373999999,351.93823159999965,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init4_speed1/delta1/0001-0150.avi,video/First_frame/Sphere_init4_speed1_delta1_0001-0150.jpg,1,0,1,0,0,17,17,9,352.08846049999966,,,,,,352.06579269999975,352.08846049999966,353.0718515000003,353.0718603999999,353.33838049999986,359.5551498,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init2_speed1/delta1/0001-0150.avi,video/First_frame/Sphere_init2_speed1_delta1_0001-0150.jpg,1,0,1,0,0,18,18,3,359.70510739999963,,,,,,359.6798494999998,359.70510739999963,360.6884335999998,360.68844190000027,360.9551274999999,367.17176569999947,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init2_speed1/original/0001-0150.avi,video/First_frame/Sphere_init2_speed1_original_0001-0150.jpg,1,0,1,0,0,19,19,5,367.3217725999998,,,,,,367.2910866999996,367.3217725999998,368.3052015999997,368.3052101999997,368.57174910000003,374.78817990000016,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init4_speed1/delta2/0001-0150.avi,video/First_frame/Sphere_init4_speed1_delta2_0001-0150.jpg,1,0,1,0,0,20,20,10,374.93839329999946,,,,,,374.90936660000034,374.93839329999946,375.92184789999965,375.9218552999996,376.1884298,382.4048434000001,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init3_speed1_perturbation/delta2/0001-0150.avi,video/First_frame/Sphere_init3_speed1_perturbation_delta2_0001-0150.jpg,1,0,1,0,0,21,21,19,382.5550916999996,,,,,,382.5243599999999,382.5550916999996,383.53849539999965,383.53850379999994,383.80507590000025,390.021518,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init4_speed1_perturbation/delta1/0001-0150.avi,video/First_frame/Sphere_init4_speed1_perturbation_delta1_0001-0150.jpg,1,0,1,0,0,22,22,21,390.17176340000015,,,,,,390.13554650000015,390.17176340000015,391.1384802999996,391.13848819999976,391.4049614999999,397.63814929999944,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init2_speed1_perturbation/delta2/0001-0150.avi,video/First_frame/Sphere_init2_speed1_perturbation_delta2_0001-0150.jpg,1,0,1,0,0,23,23,16,397.7711267999998,,,,,,397.7495077999997,397.7711267999998,398.7551367000001,398.75514780000003,399.0216752000001,405.2546612000001,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
,,1,0,1,0,,,,,,,,,,,,,,,,,405.36632359999976,405.37174149999964,405.37174149999964,418.2056596999996,space,12.81948630000079,None,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init4_speed1_perturbation/delta2/0001-0150.avi,video/First_frame/Sphere_init4_speed1_perturbation_delta2_0001-0150.jpg,2,0,2,0,0,0,0,22,418.23853420000023,,,,,,418.20818439999994,418.23853420000023,419.2217945999996,419.22180230000004,419.50511080000024,425.72170099999994,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init3_speed1/original/0001-0150.avi,video/First_frame/Sphere_init3_speed1_original_0001-0150.jpg,2,0,2,0,0,1,1,8,425.87142670000003,,,,,,425.8365577999998,425.87142670000003,426.8384486,426.8384559000001,427.10501019999947,433.33837790000007,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init4_speed1_perturbation/delta1/0001-0150.avi,video/First_frame/Sphere_init4_speed1_perturbation_delta1_0001-0150.jpg,2,0,2,0,0,2,2,21,433.4715332999999,,,,,,433.44962329999953,433.4715332999999,434.4548711000002,434.45487920000005,434.72155729999986,440.93847309999956,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
